股名,日期,成交股數,淨收付,成交單價,成交價金,手續費,交易稅,稅款,委託書號,幣別,備註
"東和鋼鐵","2026/04/30","20","-1,317","65.8","1,316","1","0","0","k0NCG","台幣",""
"台積電","2026/04/30","1","2,178","2185","2,185","1","6","0","k0RMm","台幣",""
"南亞科","2026/04/30","4","-863","215.5","862","1","0","0","k0dyK","台幣",""
"揚博","2026/04/29","100","12,459","125","12,500","4","37","0","k0Pnh","台幣",""
"揚博","2026/04/29","100","-12,504","125","12,500","4","0","0","k0Pqk","台幣",""
"揚博","2026/04/29","100","12,359","124","12,400","4","37","0","k0Rmg","台幣",""
"揚博","2026/04/29","100","12,608","126.5","12,650","5","37","0","k0fLE","台幣",""
"大成","2026/04/27","35","-1,852","52.9","1,851","1","0","0","k0M9e","台幣",""
"卜蜂","2026/04/27","10","-1,386","138.5","1,385","1","0","0","k0NCG","台幣",""
"東和鋼鐵","2026/04/27","50","-3,311","66.2","3,310","1","0","0","k0Lp3","台幣",""
"東和鋼鐵","2026/04/27","250","-16,606","66.4","16,600","6","0","0","k0QS0","台幣",""
"力成","2026/04/27","25","5,407","217","5,425","2","16","0","k0kxX","台幣",""
"大成","2026/04/24","3","-161","53.4","160","1","0","0","k0ZVD","台幣",""
"東和鋼鐵","2026/04/24","100","-6,672","66.7","6,670","2","0","0","k0ZNx","台幣",""
"廣達","2026/04/24","10","3,240","325","3,250","1","9","0","k00Zj","台幣",""
"揚博","2026/04/24","200","24,318","122","24,400","9","73","0","k00nF","台幣",""
"力成","2026/04/24","25","-5,264","210.5","5,262","2","0","0","k00bp","台幣",""
"東和鋼鐵","2026/04/23","100","-6,852","68.5","6,850","2","0","0","k0DdC","台幣",""
"東和鋼鐵","2026/04/23","100","-6,752","67.5","6,750","2","0","0","k0UtM","台幣",""
"中鋼","2026/04/22","100","1,949","19.55","1,955","1","5","0","k0WG4","台幣",""
"東和鋼鐵","2026/04/22","250","-17,256","69","17,250","6","0","0","k01TF","台幣",""
"廣達","2026/04/22","10","3,389","340","3,400","1","10","0","k0JFS","台幣",""
"力成","2026/04/22","10","2,163","217","2,170","1","6","0","k0Br6","台幣",""
"元太","2026/04/22","50","7,799","156.5","7,825","3","23","0","k0IqB","台幣",""
"元太","2026/04/22","50","7,973","160","8,000","3","24","0","k0cJb","台幣",""
"元太","2026/04/21","100","15,448","155","15,500","6","46","0","k0S7q","台幣",""
"鴻海","2026/04/20","50","10,291","206.5","10,325","4","30","0","k00RJ","台幣",""
"京元電子","2026/04/20","10","-2,736","273.5","2,735","1","0","0","k0aBc","台幣",""
"京元電子","2026/04/20","2","-545","272","544","1","0","0","k0bie","台幣",""
"元太","2026/04/20","100","15,647","157","15,700","6","47","0","k0Ms3","台幣",""
"元太","2026/04/20","150","23,396","156.5","23,475","9","70","0","k0Ng9","台幣",""
"京元電子","2026/04/17","40","10,983","275.5","11,020","4","33","0","k0cIC","台幣",""
"元太","2026/04/17","150","23,172","155","23,250","9","69","0","k0b1x","台幣",""
"元太","2026/04/17","70","10,849","155.5","10,885","4","32","0","k0dkp","台幣",""
"元太","2026/04/17","100","15,448","155","15,500","6","46","0","k0dn7","台幣",""
"京元電子","2026/04/16","20","-5,672","283.5","5,670","2","0","0","k0NZ5","台幣",""
"光寶科","2026/04/15","37","-5,866","158.5","5,864","2","0","0","k0A5P","台幣",""
"光寶科","2026/04/15","1","-159","158.5","158","1","0","0","k0BLP","台幣",""
"中美晶","2026/04/15","30","3,708","124","3,720","1","11","0","k09AJ","台幣",""
"鎰勝","2026/04/15","50","2,377","47.7","2,385","1","7","0","k0BD5","台幣",""
"士電","2026/04/14","15","2,901","194","2,910","1","8","0","k0BgB","台幣",""
"中鋼","2026/04/14","1,000","20,431","20.5","20,500","8","61","0","CF747","台幣",""
"技嘉","2026/04/14","40","10,844","272","10,880","4","32","0","k0BYv","台幣",""
"南亞科","2026/04/14","30","-6,887","229.5","6,885","2","0","0","k08If","台幣",""
"京元電子","2026/04/14","20","-5,972","298.5","5,970","2","0","0","k08R7","台幣",""
"中美晶","2026/04/14","30","3,649","122","3,660","1","10","0","k0BMH","台幣",""
"鎰勝","2026/04/14","60","2,841","47.5","2,850","1","8","0","k06Rk","台幣",""
"鎰勝","2026/04/14","10","476","47.8","478","1","1","0","k0N5i","台幣",""
"環球晶","2026/04/14","20","10,146","509","10,180","4","30","0","k064b","台幣",""
"環球晶","2026/04/14","20","10,126","508","10,160","4","30","0","k06DC","台幣",""
"元太","2026/04/14","500","-75,029","150","75,000","29","0","0","k0ApB","台幣",""
"元太","2026/04/14","350","-52,520","150","52,500","20","0","0","k0Ayq","台幣",""
"元太","2026/04/14","100","14,999","150.5","15,050","6","45","0","k0UPf","台幣",""
"技嘉","2026/04/13","30","7,894","264","7,920","3","23","0","k0cVe","台幣",""
"南亞科","2026/04/13","10","-2,216","221.5","2,215","1","0","0","k0RSD","台幣",""
"鎰勝","2026/04/13","100","4,720","47.35","4,735","1","14","0","k0WfH","台幣",""
"環球晶","2026/04/13","15","7,431","497","7,455","2","22","0","k0II6","台幣",""
"環球晶","2026/04/13","30","14,741","493","14,790","5","44","0","k0KHc","台幣",""
"環球晶","2026/04/13","15","7,401","495","7,425","2","22","0","k0KR7","台幣",""
"台積電","2026/04/10","1","1,974","1980","1,980","1","5","0","k0PKF","台幣",""
"技嘉","2026/04/10","30","7,774","260","7,800","3","23","0","k0PB6","台幣",""
"瑞昱","2026/04/10","5","2,527","507","2,535","1","7","0","k0P3y","台幣",""
"瑞昱","2026/04/10","5","2,532","508","2,540","1","7","0","k0P6j","台幣",""
"廣達","2026/04/10","10","3,240","325","3,250","1","9","0","k0KPr","台幣",""
"中美晶","2026/04/10","60","7,207","120.5","7,230","2","21","0","k0NyE","台幣",""
"力成","2026/04/10","5","1,081","217","1,085","1","3","0","k02up","台幣",""
"環球晶","2026/04/10","26","12,684","489.5","12,727","5","38","0","k0KiB","台幣",""
"環球晶","2026/04/10","112","54,918","492","55,104","21","165","0","k0Kta","台幣",""
"元太","2026/04/10","35","-5,042","144","5,040","2","0","0","k0KY5","台幣",""
"由田","2026/04/09","1,000","181,881","182.5","182,500","72","547","0","B0995","台幣",""
"廣達","2026/04/08","15","4,486","300","4,500","1","13","0","k07nR","台幣",""
"聯發科","2026/04/08","10","-15,106","1510","15,100","6","0","0","k08K6","台幣",""
"由田","2026/04/08","50","8,347","167.5","8,375","3","25","0","k03Ug","台幣",""
"由田","2026/04/08","100","16,694","167.5","16,750","6","50","0","k06Wc","台幣",""
"國泰永續高股息","2026/04/07","225","-4,998","22.21","4,997","1","0","0","p0KvU","台幣",""
"由田","2026/04/07","100","15,199","152.5","15,250","6","45","0","k05Gp","台幣",""
"由田","2026/04/07","50","7,600","152.5","7,625","3","22","0","k088c","台幣",""
"鴻海","2026/04/02","2","-388","193.5","387","1","0","0","k0ISN","台幣",""
"聯發科","2026/04/02","2","-2,931","1465","2,930","1","0","0","k0B3s","台幣",""
"聯發科","2026/04/02","1","-1,461","1460","1,460","1","0","0","k0B5n","台幣",""
"聯發科","2026/04/02","1","-1,466","1465","1,465","1","0","0","k0B8E","台幣",""
"聯發科","2026/04/02","1","-1,476","1475","1,475","1","0","0","k0BLp","台幣",""
"由田","2026/04/02","100","13,854","139","13,900","5","41","0","k07sh","台幣",""
"由田","2026/04/02","100","13,854","139","13,900","5","41","0","k0TSX","台幣",""
"由田","2026/04/02","50","6,928","139","6,950","2","20","0","k0aiD","台幣",""
"中美晶","2026/04/02","20","-2,151","107.5","2,150","1","0","0","k06Tg","台幣",""
"中美晶","2026/04/02","50","-5,327","106.5","5,325","2","0","0","k06VX","台幣",""
"中美晶","2026/04/02","10","-1,066","106.5","1,065","1","0","0","k0FBA","台幣",""
"中美晶","2026/04/02","20","-2,141","107","2,140","1","0","0","k0FFY","台幣",""
"環球晶","2026/04/02","20","-8,253","412.5","8,250","3","0","0","k07DG","台幣",""
"環球晶","2026/04/02","30","-12,379","412.5","12,375","4","0","0","k0CXn","台幣",""
"環球晶","2026/04/02","20","-8,243","412","8,240","3","0","0","k0DmW","台幣",""
"環球晶","2026/04/02","20","-8,263","413","8,260","3","0","0","k0Dru","台幣",""
"環球晶","2026/04/02","30","-12,424","414","12,420","4","0","0","k0DuD","台幣",""
"環球晶","2026/04/02","5","-2,048","409.5","2,047","1","0","0","k0J8E","台幣",""
"環球晶","2026/04/02","3","-1,228","409","1,227","1","0","0","k0J9K","台幣",""
"鴻海","2026/04/01","20","-3,941","197","3,940","1","0","0","k0SBH","台幣",""
"鴻海","2026/04/01","10","1,964","197","1,970","1","5","0","k0SUK","台幣",""
"聯發科","2026/04/01","4","-6,002","1500","6,000","2","0","0","k0Kpa","台幣",""
"中美晶","2026/04/01","20","-2,141","107","2,140","1","0","0","k0I5P","台幣",""
